dataset	subject	session	task	run	task_grouped	fd_mean	fd_num	fd_perc	tsnr	snr	gsr_x	gsr_y	dvars_std	dvars_vstd	aor	aqi	gcor	size_t	fd_prop_gt02	fd_prop_gt05
mario3	01	001	mario3	1	mario	0.18131285435007632	99	33.11036789297659	24.28288556775078	2.051147392629052	-0.008444714359939098	0.09603963047266006	1.0841515381879197	1.0478667309060397	0.00840304347826087	0.01871246591973244	0.00351041	299	0.3311036789297659	0.013377926421404682
mario3	01	001	mario3	2	mario	0.15363304116828236	59	19.218241042345277	23.29937083204277	2.0630043304039174	-0.00747281638905406	0.09445824474096298	0.9823533117320258	0.9479532698039216	0.00135371335504886	0.02491655687296417	0.00274903	307	0.19218241042345277	0.019543973941368076
mario3	01	002	mario3	1	mario	0.16315325906336417	78	24.840764331210192	22.97416465356946	2.113834260894182	-0.008659398183226585	0.08833646029233932	1.054660167220447	0.9931120105111816	0.009816337579617836	0.025403780477707003	0.00437491	314	0.2484076433121019	0.009554140127388535
mario3	01	002	mario3	2	mario	0.16156331438531485	73	23.028391167192428	24.009961077477783	2.0931704449468844	-0.00929197296500206	0.08989173173904419	0.9913245850000003	0.9442060629746833	0.0009325552050473186	0.022366403974763405	0.00481558	317	0.2302839116719243	0.0031545741324921135
mario3	01	002	mario3	3	mario	0.1482714770486963	64	17.438692098092645	25.928715842776	2.082997825865184	-0.009207837283611298	0.08985534310340881	1.0909752671311492	1.027535540710383	0.0034654223433242502	0.016817375994550406	0.00361024	367	0.17438692098092642	0.005449591280653951
mario3	01	003	mario3	1	mario	0.15783786415467566	86	24.501424501424502	24.28403855720535	2.047897564861873	-0.011858250014483929	0.096163310110569	1.0488510792571426	1.0264581440285712	0.005867179487179487	0.019774044216524216	0.00513102	351	0.245014245014245	0.005698005698005698
mario3	01	003	mario3	2	mario	0.14225834353006186	60	16.997167138810198	26.763081685756333	2.035487871415177	-0.011127309873700142	0.09574070572853088	1.0681268703977276	1.0082074756534085	0.0023038810198300285	0.013939684334277622	0.00369478	353	0.16997167138810199	0.0
mario3	01	003	mario3	3	mario	0.14863955338998322	71	18.733509234828496	27.605449637398124	2.033104358134887	-0.009881407953798771	0.09477313607931137	1.045174948492064	0.99596747515873	0.002201530343007915	0.01258093691292876	0.00480629	379	0.18733509234828497	0.005277044854881266
mario3	01	004	mario3	1	mario	0.19053995012115835	126	40.0	22.60672066663392	2.042622729964984	-0.00841306522488594	0.10014009475708008	1.155755032675159	1.1222763899044592	0.012878222222222218	0.02119247406349207	0.00377776	315	0.4	0.0
mario3	01	004	mario3	2	mario	0.1457144876941083	59	18.26625386996904	27.734738717786968	2.027991312543409	-0.007558160927146673	0.09904537349939346	1.0523311380745346	0.9818543316459625	0.001405077399380805	0.01407913321981424	0.00521915	323	0.1826625386996904	0.0
mario3	01	004	mario3	3	mario	0.14477527727952413	93	15.630252100840336	22.408264396945015	2.0480513786399075	-0.008216298185288906	0.1017647385597229	0.9819927162626276	0.9447594762962964	0.0030185378151260504	0.027876616033613445	0.00401232	595	0.15630252100840336	0.005042016806722689
mario3	01	005	mario3	1	mario	0.17659999987545447	86	27.3015873015873	21.833216765429825	2.061068012135527	-0.008328106254339218	0.09568724781274796	1.0814631498407647	1.066138451273886	0.011351047619047618	0.025367659206349202	0.00425466	315	0.273015873015873	0.009523809523809525
mario3	01	005	mario3	2	mario	0.1312111944349324	43	12.285714285714286	27.87184183066711	2.0232202617876194	-0.007425722666084766	0.0945834293961525	1.035840519398281	0.9730379741547283	0.0016224285714285718	0.013361608085714285	0.00289875	350	0.12285714285714286	0.002857142857142857
mario3	01	006	mario3	1	mario	0.14688225148552725	54	14.754098360655737	19.505424555391073	2.095330527278281	-0.007656693924218416	0.1012662872672081	1.0567381137260277	1.0497740261369854	0.014177213114754098	0.034794225136612025	0.00216374	366	0.14754098360655737	0.00273224043715847
mario3	01	006	mario3	2	mario	0.12415125808092405	27	7.377049180327869	24.802359762601554	2.047115265375153	-0.007618586998432875	0.10043007135391235	0.9868293714246575	0.9417392971232876	0.0009510109289617486	0.020165685109289615	0.00308102	366	0.07377049180327869	0.0
