dataset	subject	session	task	run	task_grouped	fd_mean	fd_num	fd_perc	tsnr	snr	gsr_x	gsr_y	dvars_std	dvars_vstd	aor	aqi	gcor	size_t	fd_prop_gt02	fd_prop_gt05
triplets	01	001	wordsfamiliarity	1	wordsfamiliarity	0.09646384691946383	5	2.272727272727273	26.199610342620872	2.019530663151884	-0.013085574842989445	0.096258744597435	0.9964440911415521	0.9461178885844749	0.0025995000000000002	0.01620632781818182	0.00207413	220	0.022727272727272728	0.0
triplets	01	001	wordsfamiliarity	2	wordsfamiliarity	0.09063650367177435	4	1.8181818181818181	31.258292632526718	2.0134995634658717	-0.014190316200256348	0.09838425368070602	1.0353235667123284	0.9713440594977165	0.0005892272727272727	0.008447832272727274	0.00384811	220	0.01818181818181818	0.0
triplets	01	001	wordsfamiliarity	3	wordsfamiliarity	0.10521359088785551	12	5.429864253393665	26.577081464231014	2.0363247776049413	-0.014323165640234947	0.09880312532186508	0.9994407780454546	0.9521158733636365	0.0008286425339366515	0.014694263348416291	0.00320637	221	0.05429864253393665	0.0
triplets	01	002	wordsfamiliarity	1	wordsfamiliarity	0.17445996049573392	53	23.981900452488688	15.408181359875016	2.1488176233923126	-0.015389383770525455	0.09681694209575653	0.9096376900909088	0.8828647710454548	0.0049486425339366515	0.06011456199095022	0.00252337	221	0.2398190045248869	0.03619909502262444
triplets	01	002	wordsfamiliarity	2	wordsfamiliarity	0.2286063033678381	98	44.74885844748859	21.774904109654017	2.0886158379057624	-0.016602536663413048	0.1007848009467125	1.1341055838073397	1.0424106334403667	0.008811735159817351	0.02449158273972603	0.00438558	219	0.4474885844748858	0.0639269406392694
triplets	01	002	wordsfamiliarity	3	wordsfamiliarity	0.2003571211651591	74	33.484162895927604	22.335378797957674	2.0948593321215827	-0.01737397164106369	0.10040663927793503	1.0147270487727273	0.9418734854545456	0.0022176470588235295	0.025237075520361987	0.00341562	221	0.334841628959276	0.049773755656108594
triplets	01	003	wordsfamiliarity	1	wordsfamiliarity	0.1215868216068534	19	8.636363636363637	25.749126116745174	2.0129810538366266	-0.012382731772959232	0.09524853527545929	1.0325027683561647	0.9948540141095897	0.007143136363636363	0.018184991727272726	0.00410489	220	0.08636363636363636	0.004545454545454545
triplets	01	003	wordsfamiliarity	2	wordsfamiliarity	0.17355125556434461	55	25.0	20.60533914156258	2.0424523988815633	-0.013327544555068016	0.09918635338544846	1.0433487491780828	1.0104535123744296	0.008985954545454547	0.02929482972727273	0.00191024	220	0.25	0.03636363636363636
triplets	01	003	wordsfamiliarity	3	wordsfamiliarity	0.14133292335630845	32	14.545454545454545	21.572907135705464	2.03288698465195	-0.014265725389122963	0.10012619197368622	0.9045755443835615	0.9012948471689496	0.001330727272727273	0.03002435972727272	0.00251509	220	0.14545454545454545	0.013636363636363636
triplets	01	004	wordsfamiliarity	1	wordsfamiliarity	0.11731956298921188	20	9.049773755656108	19.48326490446925	2.0411224386329403	-0.012481767684221268	0.10109670460224152	0.9433821739545454	0.9549925900000003	0.0128931221719457	0.03621373045248869	0.00436765	221	0.09049773755656108	0.0
triplets	01	004	wordsfamiliarity	2	wordsfamiliarity	0.14879919367576738	39	17.647058823529413	25.764482737518847	2.0056763924031284	-0.013096297159790993	0.10495393723249435	1.0812336421818185	1.018384029	0.003964886877828054	0.01624088334841629	0.00388885	221	0.17647058823529413	0.00904977375565611
triplets	01	004	wordsfamiliarity	3	wordsfamiliarity	0.15748392301097625	56	25.454545454545453	26.885860901209526	2.0092634349985414	-0.012724662199616432	0.10426664352416992	1.0365850683561648	0.9681793631963472	0.0010271818181818181	0.014653505954545452	0.00564493	220	0.2545454545454545	0.013636363636363636
triplets	01	005	wordsfamiliarity	1	wordsfamiliarity	0.10845385131412681	7	3.1818181818181817	34.315697414800525	1.9915915317183985	-0.014893303625285625	0.0990288183093071	1.0436266155707763	0.9940249976712321	0.0006910909090909091	0.006324030954545454	0.00426086	220	0.031818181818181815	0.0
triplets	01	005	wordsfamiliarity	2	wordsfamiliarity	0.09246218877532861	10	4.524886877828054	32.24939381482545	1.9902193401921007	-0.014796800911426544	0.09948798269033432	1.0446708414090906	1.0083946258636372	0.0016338914027149319	0.007450014343891403	0.00375575	221	0.04524886877828054	0.0
triplets	01	005	wordsfamiliarity	3	wordsfamiliarity	0.1272841801308357	38	17.194570135746606	27.033288976643234	1.997321861742083	-0.016268881037831306	0.10053424537181854	0.9853298077727279	0.9604163895909094	0.0014713122171945698	0.013960370090497736	0.00285672	221	0.17194570135746606	0.0
triplets	01	006	triplets	1	triplets	0.1122321248802983	17	6.882591093117409	34.4409065208165	2.030196713226786	-0.01088708732277155	0.09746895730495453	1.0821706486991862	1.0241040237804875	0.0015119838056680164	0.005880195465587044	0.00759227	247	0.06882591093117409	0.0
triplets	01	006	triplets	2	triplets	0.10166295578513486	7	2.857142857142857	33.34582748939283	2.034351067167243	-0.010009841062128544	0.09789474308490753	1.0365133042622945	0.9887428779918029	0.000560326530612245	0.006412284979591836	0.00362613	245	0.02857142857142857	0.0
triplets	01	006	triplets	3	triplets	0.1074562588521077	18	7.258064516129032	32.53001609398052	2.0561681553244147	-0.007747283671051264	0.09506307542324066	1.047764205506073	0.9888334830769234	0.0007937903225806452	0.007391471048387098	0.00594152	248	0.07258064516129033	0.004032258064516129
triplets	01	007	triplets	1	triplets	0.13818122963609014	27	10.887096774193548	29.608416204922833	2.0716310095757	-0.011744444258511066	0.091376394033432	1.094810298421053	1.0091644513360323	0.002503467741935484	0.011595738306451614	0.00498551	248	0.10887096774193548	0.008064516129032258
triplets	01	007	triplets	2	triplets	0.13216490656101712	30	12.096774193548388	26.65179429575801	2.076888041266407	-0.012228160165250301	0.09011001884937286	1.1575288967611337	1.0940558875708506	0.010403185483870968	0.015008666290322579	0.0046557	248	0.12096774193548387	0.012096774193548387
triplets	01	007	triplets	3	triplets	0.11511843615410472	21	8.46774193548387	32.44103545881808	2.0768369673545513	-0.011074762791395187	0.08915656805038452	1.1366784107692303	1.05094956368421	0.00398774193548387	0.00786143693548387	0.00464881	248	0.0846774193548387	0.0
triplets	01	008	triplets	1	triplets	0.11430696498047312	12	4.8582995951417	36.440239110961556	2.0161813931592314	-0.01216098852455616	0.09587962925434113	1.0623502511788618	0.9998556820325205	0.0004363967611336032	0.0048405035627530355	0.00568659	247	0.048582995951417005	0.0
triplets	01	008	triplets	2	triplets	0.10131730016695199	5	2.0242914979757085	36.62372746132314	2.021805937364504	-0.011465910822153091	0.09540235251188278	1.0543168075609748	0.9967411074796751	0.0004038056680161943	0.004646725425101214	0.00478412	247	0.020242914979757085	0.0
