dataset	subject	session	task	run	task_grouped	fd_mean	fd_num	fd_perc	tsnr	snr	gsr_x	gsr_y	dvars_std	dvars_vstd	aor	aqi	gcor	size_t	fd_prop_gt02	fd_prop_gt05
mutemusic	01	001	mutemusic	1	mutemusic	0.08701489554373772	10	2.202643171806167	29.57787971617654	1.9644744786422057	-0.0111223254352808	0.10221999883651733	1.0087876941501102	0.9840799316556287	0.0009146916299559472	0.010458952114537444	0.00727943	454	0.022026431718061675	0.0
mutemusic	01	001	mutemusic	2	mutemusic	0.08708451613440514	17	3.6876355748373104	31.677506406325847	1.9533786635899235	-0.013596230186522007	0.10609286278486252	1.0630869086739136	1.02302373326087	0.0021124511930585683	0.008531287744034707	0.00937314	461	0.0368763557483731	0.0
mutemusic	01	001	mutemusic	3	mutemusic	0.08083242244877917	5	1.152073732718894	33.155872114235535	1.9665689937883677	-0.012413359247148037	0.10445398837327957	1.0556681268360277	1.0074713421939954	0.0005676958525345622	0.006716075460829494	0.00790871	434	0.01152073732718894	0.0
mutemusic	01	002	mutemusic	1	mutemusic	0.09615778002306277	7	1.6867469879518073	33.97920942865312	1.973799903304034	-0.010415486991405487	0.09860142320394516	1.0427724175845412	1.0048729649275359	0.001029734939759036	0.00627668178313253	0.00917155	415	0.016867469879518072	0.0
mutemusic	01	002	mutemusic	2	mutemusic	0.0800076668472682	2	0.4357298474945534	34.376693076919764	1.9904504682187105	-0.010787852108478546	0.10026776790618896	1.0270872017467247	0.9908753208951958	0.00024891067538126364	0.006251036078431373	0.00627606	459	0.004357298474945534	0.0
mutemusic	01	002	mutemusic	3	mutemusic	0.08087088169225926	5	1.0775862068965518	33.86091097793542	1.9922125636416033	-0.010481014847755432	0.100967176258564	1.0360637056803457	0.9930121756803445	0.0003612715517241379	0.006836279978448275	0.00600888	464	0.010775862068965518	0.0
mutemusic	01	003	mutemusic	1	mutemusic	0.08980750312849065	7	1.5283842794759825	30.99127412843518	1.9703081029015586	-0.01195291243493557	0.10043209046125412	1.0084273433260398	0.9806896575054708	0.0004423580786026201	0.008878843449781659	0.00847387	458	0.015283842794759825	0.0
mutemusic	01	003	mutemusic	2	mutemusic	0.07837483865543465	3	0.704225352112676	36.12365244794637	1.96297977813585	-0.012996697798371315	0.10200238227844238	1.0508513791529412	1.0049370799058825	0.00032018779342723005	0.005035253192488262	0.00886004	426	0.007042253521126761	0.0
mutemusic	01	003	mutemusic	3	mutemusic	0.08657761371658866	6	1.312910284463895	31.919492136337794	1.9763867453242887	-0.012566930614411831	0.10234370082616806	1.0409692779166664	0.9946033773245616	0.0007673960612691466	0.007466953019693654	0.00481735	457	0.01312910284463895	0.0
mutemusic	01	004	mutemusic	1	mutemusic	0.10600828419592158	37	8.131868131868131	30.14030164515134	1.9820532170181526	-0.009968936443328857	0.1001797467470169	1.012716285110132	0.9786979374449343	0.00041872527472527465	0.009102451692307693	0.00499701	455	0.08131868131868132	0.0
mutemusic	01	004	mutemusic	2	mutemusic	0.0845343405381424	6	1.3392857142857142	33.144831176730804	1.9937112609734324	-0.009982430376112461	0.10385777801275253	1.022860507091724	0.9912143740268449	0.0005319866071428571	0.00688141544642857	0.00698965	448	0.013392857142857142	0.0
mutemusic	01	004	mutemusic	3	mutemusic	0.08197614899014963	5	1.1764705882352942	32.88271560904104	2.003603964752545	-0.008396248333156109	0.10077577829360962	1.0292306474764157	0.9950880970990561	0.00045967058823529405	0.006386122682352942	0.00661775	425	0.011764705882352941	0.0
mutemusic	01	005	mutemusic	1	mutemusic	0.10076111464752976	22	5.104408352668213	26.72664037544746	2.0000986744313836	-0.008337106555700302	0.09762432426214218	0.9963334746744185	0.9678184507906977	0.005624570765661253	0.015322796635730856	0.00442864	431	0.05104408352668213	0.0
mutemusic	01	005	mutemusic	2	mutemusic	0.08634403540024688	4	0.8602150537634409	31.619573095813394	2.008114502157959	-0.007012019865214825	0.09602856636047363	1.0309693690517232	0.9834168929310348	0.00034107526881720426	0.007555478451612904	0.00478989	465	0.008602150537634409	0.0
mutemusic	01	005	mutemusic	3	mutemusic	0.0828688803186504	3	0.6741573033707865	31.455530289094895	2.0101412443051325	-0.006766040809452534	0.09646669030189514	1.0219975555405414	0.9821390270270266	0.00034350561797752806	0.007685555820224719	0.00578428	445	0.006741573033707865	0.0
mutemusic	01	006	mutemusic	1	mutemusic	0.09319877241639865	4	0.8830022075055187	32.04395158216357	1.952262379300576	-0.016726521775126457	0.11566430330276489	1.0143024995796461	0.9842002074557515	0.00026629139072847685	0.0075708746578366445	0.00633963	453	0.008830022075055188	0.0
mutemusic	01	006	mutemusic	2	mutemusic	0.08584319093970977	8	1.8912529550827424	32.77228710707277	1.9555400340944458	-0.017567532137036324	0.11727602779865265	1.0481829818957349	1.014305413317536	0.0010040661938534282	0.008239866903073285	0.00487207	423	0.018912529550827423	0.0
mutemusic	01	006	mutemusic	3	mutemusic	0.08543954916263705	8	1.7543859649122806	32.98643686948344	1.961368097491086	-0.01736530475318432	0.11728116124868393	1.022670348241759	0.9893450803296702	0.0003008771929824561	0.008366891359649123	0.00693044	456	0.017543859649122806	0.0
