dataset	subject	session	task	run	task_grouped	fd_mean	fd_num	fd_perc	tsnr	snr	gsr_x	gsr_y	dvars_std	dvars_vstd	aor	aqi	gcor	size_t	fd_prop_gt02	fd_prop_gt05
mariostars	01	001	mariostars	1	mariostars	0.16742797005356788	138	30.065359477124183	22.019038843223825	2.0642402619049767	-0.012825881130993366	0.09924189001321793	1.0223053148471615	0.9797869882096059	0.0034712854030501086	0.025172501089324617	0.00580073	459	0.3006535947712418	0.006535947712418301
mariostars	01	001	mariostars	2	mariostars	0.14453663409908196	78	17.528089887640448	28.069766295608133	2.0406932335501957	-0.012158961966633797	0.09851903468370438	1.070858759954955	0.99634053831081	0.0014240449438202248	0.012592154696629214	0.00783467	445	0.1752808988764045	0.0
mariostars	01	001	mariostars	3	mariostars	0.1558922776501023	111	23.617021276595743	29.318512440193444	2.0369829483537707	-0.011354982852935791	0.09457071870565414	1.110601491513859	1.0270750791471217	0.0022391063829787236	0.010320238085106383	0.00821189	470	0.23617021276595745	0.00425531914893617
mariostars	01	001	mariostars	4	mariostars	0.15091339527652592	89	20.227272727272727	24.05366156285163	2.0572736064851833	-0.012227670289576054	0.096767857670784	1.0303895695216407	0.9757388770387243	0.002137363636363636	0.01947127743181818	0.0041478	440	0.20227272727272727	0.0
mariostars	01	002	mariostars	1	mariostars	0.1910191063092023	183	38.771186440677965	24.249971531506162	2.056173534920861	-0.009525449946522713	0.08801694214344025	1.0285467476008494	0.9766111623354561	0.002109131355932203	0.01894299773305085	0.00657071	472	0.3877118644067797	0.00847457627118644
mariostars	01	002	mariostars	2	mariostars	0.17891439491768793	147	33.87096774193548	25.082244160585105	2.0469341836111723	-0.008923419751226902	0.08630315214395523	1.0443682466974609	0.98330051847575	0.001031036866359447	0.016941339723502303	0.00489619	434	0.3387096774193548	0.013824884792626729
mariostars	01	002	mariostars	3	mariostars	0.1794648030516305	155	36.04651162790697	26.52996011741925	2.047990503955121	-0.008263363502919674	0.08639223873615265	1.094241069207459	1.021238355990677	0.002186860465116279	0.014293374627906977	0.00635525	430	0.36046511627906974	0.013953488372093023
mariostars	01	002	mariostars	4	mariostars	0.1657549334774698	121	26.535087719298247	27.91164761822438	2.053610397972505	-0.006095175165683031	0.08535484224557877	1.083913051252747	1.0102771625934073	0.001891030701754386	0.012430405635964915	0.00706495	456	0.26535087719298245	0.0021929824561403508
mariostars	01	003	mariostars	1	mariostars	0.1780459598130024	150	35.294117647058826	21.97725816158345	2.0643603421353673	-0.011242697015404701	0.08653131872415543	1.1340257622877352	1.1167083644339622	0.011834188235294116	0.022409145741176473	0.0050208	425	0.35294117647058826	0.004705882352941176
mariostars	01	003	mariostars	2	mariostars	0.15336669684686471	103	21.020408163265305	26.592219915124588	2.048693411052928	-0.010203040204942226	0.08719133585691452	1.0878978017177914	1.0249669195296514	0.0025875306122448982	0.01418130681632653	0.00680834	490	0.21020408163265306	0.0020408163265306124
mariostars	01	003	mariostars	3	mariostars	0.14592924980677516	71	16.705882352941178	28.719316576607525	2.0426049067022296	-0.010855011641979218	0.08858110755681992	1.048679424150943	0.9892554922169812	0.0008440470588235293	0.011610378611764708	0.00717471	425	0.16705882352941176	0.0
mariostars	01	003	mariostars	4	mariostars	0.165365189346594	123	27.455357142857142	25.054192332783714	2.049090841834876	-0.011610402725636959	0.09087721258401871	1.0480988143176722	0.9929258270917232	0.0028981696428571424	0.01692920720982143	0.00797367	448	0.27455357142857145	0.004464285714285714
mariostars	01	003	mariostars	5	mariostars	0.14922173028900976	78	17.29490022172949	27.353773353388533	2.0436344552739607	-0.012444969266653061	0.09141509979963303	1.0569384786	0.9931574497111114	0.001029179600886918	0.013333578824833704	0.00720433	451	0.1729490022172949	0.004434589800443459
mariostars	01	004	mariostars	1	mariostars	0.1735643496000864	145	31.728665207877462	23.99366996064782	2.054934640955107	-0.011050282046198845	0.09123951196670532	1.0952291128508773	1.0620520581578954	0.007763238512035011	0.018690118752735227	0.00666846	457	0.3172866520787746	0.00437636761487965
mariostars	01	004	mariostars	2	mariostars	0.15283846519066419	87	20.27972027972028	29.174128448590636	2.034531873554524	-0.011385376565158367	0.09259539842605591	1.06741096156542	0.9991445624999998	0.0011974125874125877	0.010656345337995338	0.00931063	429	0.20279720279720279	0.006993006993006993
mariostars	01	004	mariostars	3	mariostars	0.15160505865470844	99	21.108742004264393	29.83526191674173	2.0299900788839564	-0.011848654597997665	0.09301398694515228	1.0826026771367523	1.0088994641880351	0.0009192963752665245	0.009610096950959487	0.00980637	469	0.21108742004264391	0.006396588486140725
mariostars	01	004	mariostars	4	mariostars	0.14713735415577628	92	21.445221445221446	29.24822910083458	2.0284953542409845	-0.011977694928646088	0.0929134339094162	1.0431258035046733	0.9795891006542047	0.0003411888111888112	0.010503768065268064	0.00831028	429	0.21445221445221446	0.0
mariostars	01	004	mariostars	5	mariostars	0.14722329503384193	86	18.984547461368653	30.046754826908	2.0248644334245482	-0.011250589042901993	0.09320585429668427	1.0616226082300886	0.9952839689823014	0.0005799116997792494	0.009284384525386312	0.010611	453	0.18984547461368653	0.004415011037527594
mariostars	01	005	mariostars	1	mariostars	0.16445221684551228	125	26.939655172413794	22.941060747136362	2.0763610917771347	-0.01010928675532341	0.0874864012002945	1.0327170933045349	0.9776997055507557	0.0021587500000000005	0.024363127155172415	0.00809645	464	0.26939655172413796	0.0021551724137931034
mariostars	01	005	mariostars	2	mariostars	0.14965023516216916	92	19.166666666666668	24.794736378011294	2.0526177213952574	-0.01021595112979412	0.08716773986816406	1.0309914408350727	0.9729690245511482	0.0013103125	0.0193286049375	0.00866637	480	0.19166666666666668	0.0
mariostars	01	005	mariostars	3	mariostars	0.14255170153286947	78	17.56756756756757	29.577445395989344	2.030421011611216	-0.01084220688790083	0.08837173879146576	1.0890506917832965	1.0067018074492098	0.0011262387387387387	0.009996571418918916	0.0153072	444	0.17567567567567569	0.0
