dataset	subject	session	task	run	task_grouped	fd_mean	fd_num	fd_perc	tsnr	snr	gsr_x	gsr_y	dvars_std	dvars_vstd	aor	aqi	gcor	size_t	fd_prop_gt02	fd_prop_gt05
multfs	01	001	1back	1	1back	0.07945086209922443	4	2.1390374331550803	33.673886145232245	2.0270631748934647	-0.008177530951797962	0.10028284788131714	1.060175791344086	0.9983350767741935	0.0007802673796791443	0.007223076791443851	0.00679235	187	0.0213903743315508	0.0
multfs	01	001	ctxdm	1	ctxdm	0.08838444437011186	1	0.5494505494505495	38.570069493725896	2.00020517107941	-0.009131530299782753	0.09849124401807785	1.0817967462430944	1.0179481704972377	0.0008663736263736263	0.0040783374725274725	0.00491047	182	0.005494505494505495	0.0
multfs	01	001	ctxdm	2	ctxdm	0.07876568791087837	1	0.5555555555555556	37.25673755980097	2.0185951259661983	-0.008065908215939999	0.09989724308252335	1.0588153515083798	0.9974436581564248	0.0005839444444444444	0.004769663166666666	0.00458343	180	0.005555555555555556	0.0
multfs	01	001	dms	1	dms	0.08319565975012251	2	1.5873015873015872	39.01439938787371	1.9962813462945002	-0.00991281121969223	0.09871549904346466	1.0808579360800001	1.02036042192	0.0008130952380952379	0.003875065396825396	0.00584826	126	0.015873015873015872	0.0
multfs	01	001	interdms	1	interdms	0.08497070620626003	1	0.4807692307692308	37.40525332186371	2.00104406556274	-0.009171252138912678	0.09989797323942184	1.0699725308212567	1.007382685942029	0.0010673076923076923	0.004564913461538462	0.00502905	208	0.004807692307692308	0.0
multfs	01	001	interdms	2	interdms	0.08592090549009888	3	1.4492753623188406	33.97409328818321	2.01039563683909	-0.009094145148992538	0.09884660691022873	1.0614831268932041	1.0041450041262137	0.0011664251207729468	0.0065964373913043476	0.00528	207	0.014492753623188406	0.0
multfs	01	001	interdms	3	interdms	0.07965453128916906	1	0.4807692307692308	35.78275390458293	2.0196432511338407	-0.008533085696399212	0.0994841605424881	1.065794721497584	0.9996154998067631	0.0006890384615384615	0.005928884567307692	0.00456258	208	0.004807692307692308	0.0
multfs	01	002	1back	1	1back	0.11089304428739659	20	10.638297872340425	34.31460677040741	2.0156553822977776	-0.008307220414280891	0.09937611222267151	1.0588719311764703	1.0049573777540106	0.0013562765957446808	0.007294793351063831	0.00689883	188	0.10638297872340426	0.0
multfs	01	002	ctxdm	1	ctxdm	0.14264184114121786	13	7.103825136612022	20.978340212604962	2.039073907189534	-0.006378031335771084	0.09450677782297134	0.8661363465934067	0.9384913883516488	0.03883901639344263	0.03093176748633879	0.00472551	183	0.07103825136612021	0.01639344262295082
multfs	01	002	ctxdm	2	ctxdm	0.08906821080119978	3	1.6483516483516483	35.823095340281725	1.9891707486545542	-0.007327036000788212	0.09368238598108292	1.0421621062983426	1.0098106219337017	0.0007176923076923077	0.004784264340659341	0.00335788	182	0.016483516483516484	0.0
multfs	01	002	dms	1	dms	0.11859017694974704	13	10.236220472440944	36.332854179432616	1.9966021115959107	-0.005723664537072182	0.09304889291524887	1.0622713685714282	1.014604729126984	0.0012328346456692914	0.004547690472440945	0.00565244	127	0.10236220472440945	0.0
multfs	01	002	interdms	1	interdms	0.09696682823240449	4	1.932367149758454	36.647464632755145	2.009288255491918	-0.0073470911011099815	0.09439986944198608	1.049598982233009	1.0028364476699032	0.000526328502415459	0.004987970579710146	0.00520988	207	0.01932367149758454	0.0
multfs	01	002	interdms	2	interdms	0.09739922720510319	5	2.4038461538461537	34.844948157668114	2.0185723930096287	-0.007798339240252972	0.09708889573812485	1.0571559651690823	1.0052557480193238	0.0008878365384615385	0.006349914134615385	0.00516136	208	0.02403846153846154	0.0
multfs	01	002	interdms	3	interdms	0.09790060235254569	6	2.8846153846153846	35.28093651123345	2.0146980627650786	-0.008061591535806656	0.0977415069937706	1.0593007431400976	1.0031067372463771	0.0008442788461538461	0.005970262259615384	0.00591805	208	0.028846153846153848	0.0
multfs	01	003	1back	1	1back	0.09217916461399188	6	3.1914893617021276	31.04104745981749	2.0218328990855	-0.0088508827611804	0.08600056171417236	1.030001260481284	0.9786255917647053	0.0006457446808510639	0.00912809664893617	0.00793485	188	0.031914893617021274	0.0
multfs	01	003	ctxdm	1	ctxdm	0.10853379250107553	9	4.891304347826087	29.18907071161084	2.0381758754834967	-0.005235588178038597	0.08509016782045364	1.0035108864480882	0.9663387228415301	0.0009955434782608695	0.011417921032608696	0.00360697	184	0.04891304347826087	0.0
multfs	01	003	ctxdm	2	ctxdm	0.13459777531271194	29	15.76086956521739	26.7044208208099	2.0328069312136066	-0.008845211938023567	0.08718978613615036	1.027337514644808	0.9810325142622947	0.0016794021739130434	0.01324730195652174	0.00518609	184	0.15760869565217392	0.005434782608695652
multfs	01	003	dms	1	dms	0.10183143529592717	5	3.937007874015748	35.990994456456974	2.018292259361442	-0.005974193103611469	0.08513183891773224	1.0567362562698417	1.004367693015873	0.0008222047244094489	0.005207100551181103	0.00358933	127	0.03937007874015748	0.0
multfs	01	003	interdms	1	interdms	0.1047667764622928	5	2.4154589371980677	31.463071268517524	2.029783164223413	-0.005722528789192438	0.08618087321519852	1.0325801162135932	0.9832579901941754	0.000832608695652174	0.008870893236714975	0.00442238	207	0.024154589371980676	0.004830917874396135
multfs	01	003	interdms	2	interdms	0.14800728221407955	47	22.705314009661837	25.110943555366248	2.0430926593084857	-0.005790383089333773	0.08674825727939606	1.004143555194175	0.967955149368932	0.0011504830917874397	0.016310770338164252	0.00472943	207	0.22705314009661837	0.014492753623188406
multfs	01	003	interdms	3	interdms	0.0945029073953824	9	4.326923076923077	30.312963359989226	2.0253153114804863	-0.008328958414494991	0.08624384552240372	1.0294136769565212	0.9813937971014498	0.0007465865384615385	0.00914167610576923	0.00734464	208	0.04326923076923077	0.0
multfs	01	004	1back	1	1back	0.09158128726797854	11	5.882352941176471	33.71266752574593	1.9915281127105833	-0.004353430587798357	0.0931691899895668	1.0328903055376342	1.0130292386559143	0.001169572192513369	0.007033888609625668	0.00592532	187	0.058823529411764705	0.0
multfs	01	004	ctxdm	1	ctxdm	0.11698772837071333	15	8.152173913043478	32.5068482758943	1.9863781990059906	-0.00507856672629714	0.09412998706102371	1.093108023169399	1.0537165740983612	0.006555217391304349	0.007529865380434783	0.00622949	184	0.08152173913043478	0.005434782608695652
multfs	01	004	ctxdm	2	ctxdm	0.1071050532637468	11	5.978260869565218	33.0537594021298	2.000474264533346	-0.003483895445242524	0.09250101447105408	1.0531985776502728	1.006485185355192	0.0012294021739130434	0.007356321684782609	0.00749286	184	0.059782608695652176	0.0
multfs	01	004	dms	1	dms	0.09692452616485514	4	3.1496062992125986	32.50869767321274	1.9764618878844122	-0.006025596987456083	0.09293912351131439	1.006498938809524	0.982581557063492	0.0009450393700787404	0.008721186929133857	0.00625701	127	0.031496062992125984	0.0
multfs	01	004	interdms	1	interdms	0.12055142851619256	17	8.173076923076923	26.427757691126317	1.9936640645743968	-0.005783352069556713	0.09259838610887527	0.9198333099999998	0.9335594229468597	0.0051507692307692305	0.016750687259615385	0.00488349	208	0.08173076923076923	0.004807692307692308
multfs	01	004	interdms	2	interdms	0.08728218494947385	2	0.966183574879227	36.11649186280556	1.9788204886903524	-0.005135562736541033	0.0928744226694107	1.047626481407767	1.0057654172815533	0.0008788405797101448	0.006242271111111111	0.00578466	207	0.00966183574879227	0.0
multfs	01	004	interdms	3	interdms	0.09218194050734095	9	4.326923076923077	32.9481294559082	2.0026786291841443	-0.00331346713937819	0.09313126653432846	1.0541727378743961	1.0132065460869564	0.002045480769230769	0.00759213375	0.00603686	208	0.04326923076923077	0.004807692307692308
multfs	02	001	1back	1	1back	0.215728907539316	93	49.46808510638298	30.228942706715316	1.8875059673856862	-0.03784310445189476	0.12026888877153397	1.129741679090909	0.998597292299465	0.0009507446808510639	0.008225058829787236	0.0128141	188	0.4946808510638298	0.010638297872340425
multfs	02	001	ctxdm	1	ctxdm	0.20547066777389317	95	51.91256830601093	31.980848609237	1.8864149082061679	-0.03921244665980339	0.11700869351625443	1.1330844117582415	0.9998682964835164	0.0006763387978142076	0.0066372685792349725	0.00821124	183	0.5191256830601093	0.0
multfs	02	001	ctxdm	2	ctxdm	0.22342703138706888	82	44.56521739130435	27.87398042343557	1.897438111944219	-0.03711917996406555	0.11964132636785507	1.1255530289071032	0.9968656185245905	0.0011292934782608697	0.011394592391304349	0.00971048	184	0.44565217391304346	0.05434782608695652
multfs	02	001	dms	1	dms	0.2150334846036969	68	53.125	31.73596224328503	1.883369598329973	-0.039320580661296844	0.11668090522289276	1.1442278359842517	1.0040776892125984	0.001753203125	0.007123753984375	0.00783689	128	0.53125	0.0078125
