dataset	subject	session	task	run	task_grouped	fd_mean	fd_num	fd_perc	tsnr	snr	gsr_x	gsr_y	dvars_std	dvars_vstd	aor	aqi	gcor	size_t	fd_prop_gt02	fd_prop_gt05
shinobi	01	002	shinobi	1	shinobi	0.1559388963085855	91	20.177383592017737	17.85936828679405	2.1378443893977574	0.0018886732868850231	0.07299315184354782	0.9379809443777775	0.9509650059999999	0.007675565410199555	0.04454730055432373	0.00215675	451	0.2017738359201774	0.0066518847006651885
shinobi	01	002	shinobi	2	shinobi	0.17210548368251902	97	22.350230414746544	17.470458681462333	2.1461135779447535	0.0025482703931629658	0.07464858144521713	0.932327151431871	0.9537876260969981	0.0061993317972350226	0.04701448824884793	0.00317684	434	0.22350230414746544	0.016129032258064516
shinobi	01	002	shinobi	3	shinobi	0.13893054512041494	58	13.80952380952381	20.348988980054855	2.132192096936836	0.0025320732966065407	0.0749080702662468	0.9234644553937948	0.9345701625059663	0.004245190476190475	0.03639497328571428	0.00226925	420	0.1380952380952381	0.002380952380952381
shinobi	01	002	shinobi	4	shinobi	0.15350116597404498	87	20.61611374407583	20.45823966851458	2.1309629585514926	0.003409202676266432	0.07458309084177017	0.9748907519714975	0.9889184825653206	0.008228744075829382	0.03354860317535545	0.00347334	422	0.20616113744075829	0.002369668246445498
shinobi	01	003	shinobi	1	shinobi	0.14711546845194534	73	17.136150234741784	19.075464958208613	2.1346503873110145	0.005395248997956514	0.07563622295856476	0.9736569749882352	0.9947137562117642	0.007419319248826291	0.037570141572769944	0.00232491	426	0.17136150234741784	0.007042253521126761
shinobi	01	003	shinobi	2	shinobi	0.12472783407899693	37	9.024390243902438	23.40140743763186	2.1167615554068413	0.004672049544751644	0.07835261523723602	0.9939789540097795	0.982700352371638	0.004008756097560975	0.02498623675609756	0.00354635	410	0.09024390243902439	0.0
shinobi	01	003	shinobi	3	shinobi	0.12901651505261305	39	9.24170616113744	26.413824054645374	2.0994906642902538	0.005995304323732853	0.0770193487405777	1.0067615040855116	0.9871317419714962	0.0030890521327014216	0.016192404265402846	0.00335157	422	0.0924170616113744	0.0
shinobi	01	003	shinobi	4	shinobi	0.1342135719053387	59	12.854030501089325	25.76545291778166	2.1063978590803227	0.006355477962642908	0.07803309708833694	1.070838667030569	1.0517810795851525	0.007816601307189542	0.017372949999999998	0.00595726	459	0.12854030501089325	0.0
shinobi	01	004	shinobi	1	shinobi	0.12816725547229008	40	9.174311926605505	18.882292145863175	2.120872568081645	0.00028324307641014457	0.07878024131059647	0.9973312592643685	0.9755884241379309	0.007842568807339448	0.03963432793577982	0.00231202	436	0.09174311926605505	0.0
shinobi	01	004	shinobi	2	shinobi	0.13546428490085852	64	13.559322033898304	26.30525571294129	2.0713233051416107	0.0005828482680954039	0.07705829292535782	1.090697645796178	1.0336196448619959	0.005269406779661016	0.015986875423728814	0.00593866	472	0.13559322033898305	0.00211864406779661
shinobi	01	004	shinobi	3	shinobi	0.12869674513887333	43	10.238095238095237	22.923929441836663	2.0933435482495346	0.0016238830285146832	0.07823794335126877	0.9799631391169448	0.9513991227446307	0.0028999285714285715	0.025805212047619052	0.00536562	420	0.10238095238095238	0.002380952380952381
shinobi	01	004	shinobi	4	shinobi	0.11287010405398851	28	6.588235294117647	26.979000601102598	2.081324449926775	0.0011463731061667204	0.07814459502696991	1.0185101230424534	0.965155437995283	0.001479764705882353	0.015396296611764705	0.00597595	425	0.06588235294117648	0.0
shinobi	01	004	shinobi	5	shinobi	0.1265745056613006	37	9.002433090024331	22.871833834215067	2.103313113131543	0.0007650128682143986	0.0776151493191719	0.9776665457560969	0.9506495978292683	0.0024372992700729926	0.026624387542579075	0.00371942	411	0.09002433090024331	0.0024330900243309003
